parcl_property_id,event_type,event_name,event_date,price,address,city,county_name,BG_ID,latitude,longitude,property_type,bedrooms,bathrooms,square_footage,year_built,price_sf
137643190,SALE,SOLD,2023-03-29,100000.0,263 SWEETGRASS DR,,Habersham,131370005021,34.571386,-83.516133,Single family,4.0,4.5,2963.0,2023.0,33.74957813027337
95259626,SALE,SOLD,2024-01-17,279900.0,158 HIGHLAND POINTE DR,,Habersham,131370006012,34.488717,-83.585156,Single family,3.0,2.0,1400.0,2023.0,199.92857142857142
87227080,SALE,SOLD,2023-10-11,345000.0,567 HUNTINGTON LN,,Habersham,131370005023,34.533073,-83.554983,Single family,4.0,3.5,1957.0,2020.0,176.2902401635156
85273647,SALE,SOLD,2024-07-16,306900.0,372 HIGHLAND POINTE DR,Baldwin City,Habersham,131370006012,34.491021,-83.591331,Single family,3.0,2.0,1504.0,2020.0,204.05585106382978
74647200,SALE,SOLD,2024-10-02,335000.0,238 HIGHLAND POINTE DR,Baldwin City,Habersham,131370006012,34.489759,-83.587639,Single family,4.0,3.5,2205.0,2021.0,151.92743764172334
452660209,SALE,SOLD,2024-07-29,305000.0,150 SALOME DR,Clarkesville City,Habersham,131370003002,34.604974,-83.512759,Single family,3.0,2.5,1894.0,2024.0,161.03484688489968
451752234,SALE,SOLD,2024-08-26,305000.0,170 SALOME DR,Clarkesville City,Habersham,131370003002,34.6055331,-83.5129515,Single family,3.0,2.5,1894.0,2024.0,161.03484688489968
451752234,SALE,SOLD,2023-11-28,145000.0,170 SALOME DR,Clarkesville City,Habersham,131370003002,34.6055331,-83.5129515,Single family,3.0,2.5,1894.0,2024.0,76.55755015839493
435117686,SALE,SOLD,2024-03-29,347295.0,312 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.505736,-83.5529885,Single family,4.0,3.5,2408.0,2024.0,144.22549833887044
213167511,SALE,SOLD,2023-11-21,285900.0,294 HARVEST CHURCH RD,,Habersham,131370002041,34.631817,-83.604663,Single family,4.0,3.5,1571.0,2023.0,181.98599618077657
197156755,SALE,SOLD,2023-05-26,399000.0,121 CLARKESVILLE HEIGHTS DR,,Habersham,131370002034,34.6360151,-83.5336913,Single family,3.0,2.0,1800.0,2023.0,221.66666666666666
84977298,SALE,SOLD,2024-04-05,320000.0,435 HIGHLAND POINTE DR,Baldwin City,Habersham,131370006012,34.489917,-83.589319,Single family,4.0,4.5,1790.0,2020.0,178.7709497206704
69149262,SALE,SOLD,2023-07-13,299900.0,656 TROJAN LN,Baldwin City,Habersham,131370006012,34.487789,-83.58705,Single family,3.0,2.5,1879.0,2021.0,159.60617349654072
69149262,SALE,SOLD,2023-03-01,30000.0,656 TROJAN LN,Baldwin City,Habersham,131370006012,34.487789,-83.58705,Single family,3.0,2.5,1879.0,2021.0,15.965939329430547
69149262,SALE,SOLD,2023-02-21,30000.0,656 TROJAN LN,Baldwin City,Habersham,131370006012,34.487789,-83.58705,Single family,3.0,2.5,1879.0,2021.0,15.965939329430547
469279010,SALE,SOLD,2023-09-12,580000.0,1150 HEADS FERRY RD,,Habersham,131370006031,34.512587,-83.647866,Single family,4.0,3.0,2480.0,2023.0,233.8709677419355
451611563,SALE,SOLD,2024-05-09,339170.0,144 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.504663,-83.556378,Single family,4.0,3.5,2131.0,2024.0,159.16001877053026
301447596,SALE,SOLD,2024-02-28,376895.0,294 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.505714,-83.5527,Single family,5.0,4.5,2709.0,2024.0,139.12698412698413
223371242,SALE,SOLD,2023-09-26,399000.0,227 SOUTHERN ESTATES DR,,Habersham,131370002012,34.6226941,-83.610611,Single family,4.0,2.5,2484.0,2023.0,160.6280193236715
197817264,SALE,SOLD,2023-12-12,361050.0,254 MAGNOLIA VILLAS DR,Cornelia City,Habersham,131370006041,34.5044997,-83.5544939,Single family,4.0,3.0,2316.0,2023.0,155.89378238341968
